Longitude,Latitude,EVI,LST,precipitation,Zona_Cluster,cluster
97.35999707,5.201583498,-0.03848,25.53,6.282816,4,0
97.36208924,5.201583498,-0.03654,25.53,6.282816,4,0
97.36418141,5.201583498,-0.04864,25.53,6.282816,4,0
97.36627357,5.201583498,-0.00872,25.53,6.282816,4,0
97.35967483,5.199499947,-0.008648571,25.53,6.5872536,4,0
97.36176699,5.199499947,0.021308571,25.53,6.5872536,4,0
97.36385915,5.199499947,0.053728947,25.53,6.5872536,4,0
97.36595131,5.199499947,0.083576316,25.53,6.5872536,4,0
97.35935272,5.197416397,0.232725714,25.53,6.5872536,4,1
97.36144487,5.197416397,0.25116,25.53,6.5872536,4,1
97.36353702,5.197416397,0.203352632,25.53,6.5872536,4,0
97.36562918,5.197416397,0.174326316,25.53,6.5872536,4,0
97.35903074,5.195332847,0.293425532,25.53,6.5872536,5,1
97.36112289,5.195332847,0.309078723,25.53,6.5872536,5,1
97.36321503,5.195332847,0.32267,25.53,6.5872536,5,1
97.36530718,5.195332847,0.292908,25.53,6.5872536,4,1
97.33360323,5.193249296,-0.1023,24.99,6.5872536,4,0
97.33569537,5.193249296,-0.1023,24.99,6.5872536,4,0
97.33778751,5.193249296,0.0163,24.99,6.5872536,4,0
97.33987964,5.193249296,0.07598,24.99,6.5872536,4,0
97.34197178,5.193249296,0.037545,25.17,6.5872536,4,0
97.34406392,5.193249296,0.079875,25.17,6.5872536,4,0
97.34615606,5.193249296,0.190957143,25.17,6.5872536,4,0
97.3482482,5.193249296,0.275894286,25.17,6.5872536,4,1
97.35034034,5.193249296,0.300329545,25.29,6.5872536,5,1
97.35243248,5.193249296,0.301152273,25.29,6.5872536,5,1
97.35452461,5.193249296,0.290344681,25.29,6.5872536,5,1
97.35661675,5.193249296,0.245870213,25.29,6.5872536,4,0
97.35870889,5.193249296,0.243968085,25.31,6.5872536,4,0
97.36080103,5.193249296,0.230557447,25.31,6.5872536,4,0
97.36289317,5.193249296,0.2338,25.31,6.5872536,4,0
97.36498531,5.193249296,0.229688,25.31,6.5872536,4,0
97.36707744,5.193249296,0.216106122,25.33,6.5872536,4,0
97.36916958,5.193249296,0.179810204,25.33,6.5872536,4,0
97.37126172,5.193249296,0.140448,25.33,6.5872536,4,0
97.37335386,5.193249296,0.097306,25.33,6.5872536,4,0
97.375446,5.193249296,0.084782,25.37,6.5872536,4,0
97.37753814,5.193249296,0.078368,25.37,6.5872536,4,0
97.37963027,5.193249296,0.083792,25.37,6.5872536,4,0
97.38172241,5.193249296,0.102056,25.37,6.5872536,4,0
97.38381455,5.193249296,0.11578,25.23,6.5872536,4,0
97.38590669,5.193249296,0.10486,25.23,6.5872536,4,0
97.38799883,5.193249296,0.14221,25.23,6.5872536,4,0
97.39009097,5.193249296,0.19817,25.23,6.5872536,4,0
97.39218311,5.193249296,0.20867,25.07,6.5872536,4,0
97.39427524,5.193249296,0.159084,25.07,6.5872536,4,0
97.39636738,5.193249296,0.15249,25.07,6.5872536,4,0
97.39845952,5.193249296,0.124456,25.07,6.5872536,4,0
97.33328159,5.191165746,0.1063,24.99,6.5872536,4,0
97.33537373,5.191165746,0.1063,24.99,6.5872536,4,0
97.33746586,5.191165746,0.039842857,24.99,6.5872536,4,0
97.33955799,5.191165746,0.086328571,24.99,6.5872536,4,0
97.34165012,5.191165746,0.176407407,25.17,6.5872536,4,0
97.34374225,5.191165746,0.261248148,25.17,6.5872536,4,0
97.34583438,5.191165746,0.348811628,25.17,6.5872536,5,1
97.34792651,5.191165746,0.374774419,25.17,6.5872536,5,1
97.35001865,5.191165746,0.378153191,25.29,6.5872536,5,1
97.35211078,5.191165746,0.353482979,25.29,6.5872536,5,1
97.35420291,5.191165746,0.347172,25.29,6.5872536,5,1
97.35629504,5.191165746,0.362038,25.29,6.5872536,5,1
97.35838717,5.191165746,0.379674,25.31,6.5872536,5,1
97.3604793,5.191165746,0.37296,25.31,6.5872536,5,1
97.36257144,5.191165746,0.319598,25.31,6.5872536,5,1
97.36466357,5.191165746,0.318264,25.31,6.5872536,5,1
97.3667557,5.191165746,0.351638,25.33,6.5872536,5,1
97.36884783,5.191165746,0.34082,25.33,6.5872536,5,1
97.37093996,5.191165746,0.306252,25.33,6.5872536,5,1
97.37303209,5.191165746,0.277318,25.33,6.5872536,4,1
97.37512422,5.191165746,0.256534,25.37,6.5872536,4,1
97.37721636,5.191165746,0.207104,25.37,6.5872536,4,0
97.37930849,5.191165746,0.14505,25.37,6.5872536,4,0
97.38140062,5.191165746,0.1729,25.37,6.5872536,4,0
97.38349275,5.191165746,0.191596,25.23,6.5872536,4,0
97.38558488,5.191165746,0.160832,25.23,6.5872536,4,0
97.38767701,5.191165746,0.12448,25.23,6.5872536,4,0
97.38976914,5.191165746,0.145324,25.23,6.5872536,4,0
97.39186128,5.191165746,0.196206,25.07,6.5872536,4,0
97.39395341,5.191165746,0.219532,25.07,6.5872536,4,0
97.39604554,5.191165746,0.229368,25.07,6.5872536,4,0
97.39813767,5.191165746,0.21429,25.07,6.5872536,4,0
97.33296009,5.189082196,0.1063,24.99,6.5872536,4,0
97.33505221,5.189082196,0.1063,24.99,6.5872536,4,0
97.33714434,5.189082196,0.185728571,24.99,6.5872536,4,0
97.33923646,5.189082196,0.190914286,24.99,6.5872536,4,0
97.34132859,5.189082196,0.178566667,25.17,6.5872536,4,0
97.34342071,5.189082196,0.240014815,25.17,6.5872536,4,0
97.34551284,5.189082196,0.291718605,25.17,6.5872536,5,1
97.34760496,5.189082196,0.341813953,25.17,6.5872536,5,1
97.34969709,5.189082196,0.366838298,25.29,6.5872536,5,1
